Stock,Species,Areas,AreaType,StockDescription
agn.27.nea,AGN,27.3.d.29,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.d.30,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.d.31,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.d.32,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.b,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.c,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.7.b,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.7.c,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.7.g,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.7.h,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.7.j,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.7.k,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.6.a.n,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.8.a,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.8.b,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.8.c,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.8.d,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.8.e,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.9.a,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.9.b,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27,IC_AreaTopLevel,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.a.21,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.6.a.s,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.7.a.n,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.7.a.s,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
