AphiaId,AphiaId_Desc,ICES_Vocab_CodeType_Worms_AphiaId,ASFIS_Code,ASFIS_Code_Desc,ICES_Vocab_CodeType_FAO_ASFIS
125493,Lophiidae,SpecWoRMS,ANF,Lophiidae,SpecASFIS
159184,Lophius americanus,SpecWoRMS,ANG,Lophius americanus,SpecASFIS
126554,Lophius budegassa,SpecWoRMS,ANK,Lophius budegassa,SpecASFIS
126306,Nemichthys scolopaceus,SpecWoRMS,ANM,Nemichthys scolopaceus,SpecASFIS
127049,Diplodus annularis,SpecWoRMS,ANN,Diplodus annularis,SpecASFIS
126334,Anotopterus pharao,SpecWoRMS,ANP,Anotopterus pharao,SpecASFIS
126486,Antimora rostrata,SpecWoRMS,ANT,Antimora rostrata,SpecASFIS
126305,Nemichthys curvirostris,SpecWoRMS,ANU,Nemichthys curvirostris,SpecASFIS
217567,Cirrhimuraena inhacae,SpecWoRMS,AOI,Cirrhimuraena inhacae,SpecASFIS
126314,Echelus myrus,SpecWoRMS,AOM,Echelus myrus,SpecASFIS
233942,Acipenser baerii,SpecWoRMS,APB,Acipenser baerii,SpecASFIS
217636,Apristurus saldanha,SpecWoRMS,APC,Apristurus saldanha,SpecASFIS
126278,Acipenser stellatus,SpecWoRMS,APE,Acipenser stellatus,SpecASFIS
159833,Aphanopus intermedius,SpecWoRMS,APH,Aphanopus intermedius,SpecASFIS
105807,Apristurus laurussonii,SpecWoRMS,APQ,Apristurus laurussonii,SpecASFIS
126279,Acipenser sturio,SpecWoRMS,APU,Acipenser sturio,SpecASFIS
1135,Amphipoda,SpecWoRMS,AQM,Amphipoda,SpecASFIS
22549,Antipatharia,SpecWoRMS,AQZ,Antipatharia,SpecASFIS
107083,Aristeus antennatus,SpecWoRMS,ARA,Aristeus antennatus,SpecASFIS
126283,Ariosoma balearicum,SpecWoRMS,ARB,Ariosoma balearicum,SpecASFIS
272894,Argentina elongata,SpecWoRMS,ARE,Argentina elongata,SpecASFIS
125885,Argentina,SpecWoRMS,ARG,Argentina spp,SpecASFIS
137670,Arca,SpecWoRMS,ARK,Arca spp,SpecASFIS
218468,Aphareus rutilans,SpecWoRMS,ARQ,Aphareus rutilans,SpecASFIS
158326,Aristaeomorpha foliacea,SpecWoRMS,ARS,Aristaeomorpha foliacea,SpecASFIS
234581,Artedidraco,SpecWoRMS,ART,Artedidraco spp,SpecASFIS
126715,Argentina silus,SpecWoRMS,ARU,Argentina silus,SpecASFIS
234116,Aristeus varidens,SpecWoRMS,ARV,Aristeus varidens,SpecASFIS
126716,Argentina sphyraena,SpecWoRMS,ARY,Argentina sphyraena,SpecASFIS
126319,Serrivomer beanii,SpecWoRMS,ASB,Serrivomer beanii,SpecASFIS
126413,Alosa alosa,SpecWoRMS,ASD,Alosa alosa,SpecASFIS
105717,Squatinidae,SpecWoRMS,ASK,Squatinidae,SpecASFIS
145541,Ascophyllum nodosum,SpecWoRMS,ASN,Ascophyllum nodosum,SpecASFIS
1015724,Leuciscus aspius,SpecWoRMS,ASU,Leuciscus aspius,SpecASFIS
272027,Atherina boyeri,SpecWoRMS,ATB,Atherina boyeri,SpecASFIS
272030,Atherina presbyter,SpecWoRMS,ATP,Atherina presbyter,SpecASFIS
1360,Actiniaria,SpecWoRMS,ATX,Actiniaria,SpecASFIS
279790,Atelomycterus marmoratus,SpecWoRMS,ATY,Atelomycterus marmoratus,SpecASFIS
889885,Similiparma lurida,SpecWoRMS,AUU,Similiparma lurida,SpecASFIS
281745,Netuma thalassina,SpecWoRMS,AUX,Netuma thalassina,SpecASFIS
123867,Astropecten irregularis,SpecWoRMS,AVC,Astropecten irregularis,SpecASFIS
123985,Anseropoda placenta,SpecWoRMS,AVG,Anseropoda placenta,SpecASFIS
159489,Aluterus heudelotii,SpecWoRMS,AVH,Aluterus heudelotii,SpecASFIS
457862,Acesta maui,SpecWoRMS,AVI,Acesta maui,SpecASFIS
125659,Atherina,SpecWoRMS,AVX,Atherina spp,SpecASFIS
218634,Atractoscion aequidens,SpecWoRMS,AWE,Atractoscion aequidens,SpecASFIS
276756,Acanthoplesiops hiatti,SpecWoRMS,AWH,Acanthoplesiops hiatti,SpecASFIS
1020768,Carlarius parkii,SpecWoRMS,AWJ,Carlarius parkii,SpecASFIS
158790,Antennarius striatus,SpecWoRMS,AWL,Antennarius striatus,SpecASFIS
