"Area_27","ICESNAME","Area"
"14.b.2","50A2","27.14.b.2"
"14.b.2","51A2","27.14.b.2"
"14.b.2","52A2","27.14.b.2"
"14.b.2","53A2","27.14.b.2"
"14.b.2","54A2","27.14.b.2"
"14.b.2","55A2","27.14.b.2"
"14.b.2","56A2","27.14.b.2"
"14.b.2","57A2","27.14.b.2"
"14.b.2","58A2","27.14.b.2"
"14.b.2","59A2","27.14.b.2"
"10.a.1","01A3","27.10.a.1"
"10.a.1","02A3","27.10.a.1"
"10.a.1","03A3","27.10.a.1"
"10.a.1","04A3","27.10.a.1"
"10.a.1","05A3","27.10.a.1"
"10.a.1","06A3","27.10.a.1"
"10.a.1","07A3","27.10.a.1"
"10.a.1","08A3","27.10.a.1"
"10.a.1","09A3","27.10.a.1"
"10.a.1","10A3","27.10.a.1"
"10.a.1","11A3","27.10.a.1"
"10.a.1","12A3","27.10.a.1"
"10.a.1","13A3","27.10.a.1"
"10.a.1","14A3","27.10.a.1"
"10.b","15A3","27.10.b"
"10.b","16A3","27.10.b"
"10.b","17A3","27.10.b"
"10.b","18A3","27.10.b"
"10.b","19A3","27.10.b"
"10.b","20A3","27.10.b"
"10.b","21A3","27.10.b"
"10.b","22A3","27.10.b"
"10.b","23A3","27.10.b"
"10.b","24A3","27.10.b"
"12.c","25A3","27.12.c"
"12.c","26A3","27.12.c"
"12.c","27A3","27.12.c"
"12.c","28A3","27.12.c"
"12.c","29A3","27.12.c"
"12.c","30A3","27.12.c"
"12.c","31A3","27.12.c"
"12.c","32A3","27.12.c"
"12.c","33A3","27.12.c"
"12.a.1","34A3","27.12.a.1"
"12.a.1","35A3","27.12.a.1"
"12.a.1","36A3","27.12.a.1"
"12.a.1","37A3","27.12.a.1"
"12.a.1","38A3","27.12.a.1"
"12.a.1","39A3","27.12.a.1"
"12.a.1","40A3","27.12.a.1"
"12.a.1","41A3","27.12.a.1"
"12.a.3","44A3","27.12.a.3"
"12.a.3","45A3","27.12.a.3"
"12.a.3","46A3","27.12.a.3"
"14.b.2","47A3","27.14.b.2"
"14.b.2","48A3","27.14.b.2"
"14.b.2","49A3","27.14.b.2"
"14.b.2","50A3","27.14.b.2"
"14.b.2","51A3","27.14.b.2"
"14.b.2","52A3","27.14.b.2"
"14.b.2","53A3","27.14.b.2"
"14.b.2","54A3","27.14.b.2"
"14.b.2","55A3","27.14.b.2"
"14.b.2","56A3","27.14.b.2"
"14.b.2","57A3","27.14.b.2"
"14.b.2","58A3","27.14.b.2"
"14.b.2","59A3","27.14.b.2"
"14.b.2","60A3","27.14.b.2"
"10.a.1","01B0","27.10.a.1"
