"Area_27","ICESNAME","Area"
"5.a.2","57C5","27.5.a.2"
"5.a.2","58C5","27.5.a.2"
"5.a.2","59C5","27.5.a.2"
"5.a.2","60C5","27.5.a.2"
"5.a.2","61C5","27.5.a.2"
"5.a.2","62C5","27.5.a.2"
"5.a.2","63C5","27.5.a.2"
"5.a.2","64C5","27.5.a.2"
"14.a","65C5","27.14.a"
"14.a","66C5","27.14.a"
"14.a","67C5","27.14.a"
"14.a","68C5","27.14.a"
"14.a","69C5","27.14.a"
"14.a","70C5","27.14.a"
"14.a","71C5","27.14.a"
"14.a","73C5","27.14.a"
"14.a","74C5","27.14.a"
"14.a","75C5","27.14.a"
"14.a","76C5","27.14.a"
"14.a","92C5","27.14.a"
"14.a","93C5","27.14.a"
"14.a","94C5","27.14.a"
"14.a","95C5","27.14.a"
"14.a","96C5","27.14.a"
"14.a","97C5","27.14.a"
"14.a","98C5","27.14.a"
"10.a.2","01C6","27.10.a.2"
"10.a.2","02C6","27.10.a.2"
"10.a.2","03C6","27.10.a.2"
"10.a.2","04C6","27.10.a.2"
"10.a.2","05C6","27.10.a.2"
"10.a.2","06C6","27.10.a.2"
"10.a.2","07C6","27.10.a.2"
"10.a.2","08C6","27.10.a.2"
"10.a.2","09C6","27.10.a.2"
"10.a.1","12C6","27.10.a.1"
"10.a.1","13C6","27.10.a.1"
"10.a.1","14C6","27.10.a.1"
"10.b","15C6","27.10.b"
"10.b","16C6","27.10.b"
"10.b","17C6","27.10.b"
"10.b","18C6","27.10.b"
"10.b","19C6","27.10.b"
"10.b","20C6","27.10.b"
"10.b","21C6","27.10.b"
"10.b","22C6","27.10.b"
"10.b","23C6","27.10.b"
"10.b","24C6","27.10.b"
"12.c","25C6","27.12.c"
"12.c","26C6","27.12.c"
"12.c","27C6","27.12.c"
"12.c","28C6","27.12.c"
"12.c","29C6","27.12.c"
"12.c","30C6","27.12.c"
"12.c","31C6","27.12.c"
"12.c","32C6","27.12.c"
"12.c","33C6","27.12.c"
"12.a.1","34C6","27.12.a.1"
"12.a.1","35C6","27.12.a.1"
"12.a.1","36C6","27.12.a.1"
"12.a.1","37C6","27.12.a.1"
"12.a.4","50C6","27.12.a.4"
"12.a.4","51C6","27.12.a.4"
"12.a.4","52C6","27.12.a.4"
"5.a.2","53C6","27.5.a.2"
"5.a.2","54C6","27.5.a.2"
"5.a.2","55C6","27.5.a.2"
"5.a.2","56C6","27.5.a.2"
"5.a.2","57C6","27.5.a.2"
"5.a.2","58C6","27.5.a.2"
"5.a.2","59C6","27.5.a.2"
"5.a.2","60C6","27.5.a.2"
"5.a.2","61C6","27.5.a.2"
"5.a.2","62C6","27.5.a.2"
"5.a.2","63C6","27.5.a.2"
"5.a.2","64C6","27.5.a.2"
"14.a","65C6","27.14.a"
"14.a","66C6","27.14.a"
"14.a","67C6","27.14.a"
"14.a","68C6","27.14.a"
"14.a","69C6","27.14.a"
"14.a","70C6","27.14.a"
"14.a","72C6","27.14.a"
"14.a","73C6","27.14.a"
"14.a","74C6","27.14.a"
"14.a","75C6","27.14.a"
"14.a","76C6","27.14.a"
"14.a","90C6","27.14.a"
"14.a","91C6","27.14.a"
"14.a","92C6","27.14.a"
"14.a","93C6","27.14.a"
"14.a","94C6","27.14.a"
"14.a","95C6","27.14.a"
"14.a","96C6","27.14.a"
"14.a","97C6","27.14.a"
"14.a","98C6","27.14.a"
"10.a.2","01C7","27.10.a.2"
"10.a.2","02C7","27.10.a.2"
"10.a.2","03C7","27.10.a.2"
"10.a.2","04C7","27.10.a.2"
"10.a.2","05C7","27.10.a.2"
"10.a.2","06C7","27.10.a.2"
"10.a.2","07C7","27.10.a.2"
"10.a.2","08C7","27.10.a.2"
"10.a.1","11C7","27.10.a.1"
"10.a.1","12C7","27.10.a.1"
"10.a.1","13C7","27.10.a.1"
"10.a.1","14C7","27.10.a.1"
"10.b","15C7","27.10.b"
"10.b","16C7","27.10.b"
"10.b","17C7","27.10.b"
"10.b","18C7","27.10.b"
"10.b","19C7","27.10.b"
"10.b","20C7","27.10.b"
"10.b","21C7","27.10.b"
"10.b","22C7","27.10.b"
"10.b","23C7","27.10.b"
"10.b","24C7","27.10.b"
"12.c","25C7","27.12.c"
"12.c","26C7","27.12.c"
"12.c","27C7","27.12.c"
"12.c","28C7","27.12.c"
"12.c","29C7","27.12.c"
"12.c","30C7","27.12.c"
"12.c","31C7","27.12.c"
"12.c","32C7","27.12.c"
"12.c","33C7","27.12.c"
"12.a.1","34C7","27.12.a.1"
"12.a.1","35C7","27.12.a.1"
"12.a.1","36C7","27.12.a.1"
"12.a.1","37C7","27.12.a.1"
"12.b","38C7","27.12.b"
"12.b","39C7","27.12.b"
"12.b","40C7","27.12.b"
"12.b","41C7","27.12.b"
"12.b","42C7","27.12.b"
"12.b","43C7","27.12.b"
"12.b","44C7","27.12.b"
"12.b","45C7","27.12.b"
"12.b","46C7","27.12.b"
"12.b","47C7","27.12.b"
"12.b","48C7","27.12.b"
"12.a.4","50C7","27.12.a.4"
"12.a.4","51C7","27.12.a.4"
"12.a.4","52C7","27.12.a.4"
"5.a.2","53C7","27.5.a.2"
"5.a.2","54C7","27.5.a.2"
"5.a.2","55C7","27.5.a.2"
"5.a.2","56C7","27.5.a.2"
"5.a.2","57C7","27.5.a.2"
"5.a.2","58C7","27.5.a.2"
"5.a.2","59C7","27.5.a.2"
"5.a.2","60C7","27.5.a.2"
"5.a.2","61C7","27.5.a.2"
"5.a.2","62C7","27.5.a.2"
"5.a.2","63C7","27.5.a.2"
"5.a.2","64C7","27.5.a.2"
"14.a","65C7","27.14.a"
"14.a","66C7","27.14.a"
"14.a","67C7","27.14.a"
